true,predict
19052.0,2618.045
25836.0,11208.05
10950.0,-2904.1785
15460.0,-3282.7131
12737.0,-7323.6113
10865.0,-4205.8027
15210.0,3813.9705
13739.0,411.47144
10282.0,-5942.016
14622.0,-4321.4287
5893.0,-11281.014
31070.0,7269.1733
21103.0,-847.88934
6794.0,-10674.896
27654.0,6689.735
19037.0,7668.186
17523.0,-1322.654
27613.0,18916.62
24821.0,15980.161
23264.0,12277.741
27097.0,12979.014
20768.0,2985.7
12667.0,-4891.6797
18517.0,3568.7756
21142.0,6366.528
23756.0,8848.0
29174.0,20992.197
27966.0,22839.137
14044.0,1631.0406
28972.0,18248.453
26054.0,10492.441
15814.0,3126.535
46539.0,43123.777
54535.0,43738.293
62394.0,45395.344
55573.0,42513.98
27968.0,13208.007
25975.0,21405.81
25758.0,18559.105
39268.0,29603.615
13039.0,-7016.623
16429.0,10561.647
17070.0,3099.8733
20036.0,11269.963
9854.0,-2594.7395
16812.0,-691.6553
29298.0,12582.591
8953.0,-6659.282
10849.0,-1438.3945
12873.0,-696.3024
8154.0,-9474.549
10480.0,-6374.45
8224.0,-7899.2656
17270.0,-302.2705
23845.0,9738.247
29373.0,11441.811
184972.0,165214.86
15078.0,-187.78215
9959.0,-7292.1167
14892.0,309.84033
10691.0,-3825.2388
18017.0,-550.80194
6964.0,-12128.661
7735.0,-9953.749
6660.0,-11072.726
7374.0,-9465.008
11494.0,-2311.5234
17506.0,5692.722
19556.0,-501.94696
16963.0,5145.27
17395.0,8307.009
9765.0,-7269.018
12888.0,-6327.3364
13286.0,-2853.2854
15376.0,2137.2332
17943.0,8113.3223
13261.0,1106.8453
26413.0,10282.6455
26874.0,10038.512
11196.0,-2385.0085
25078.0,15113.428
20049.0,12080.956
29577.0,22806.564
40761.0,40563.492
40774.0,35480.51
70693.0,63134.996
42974.0,44282.543
21023.0,9413.976
47009.0,41518.242
40092.0,32035.004
59238.0,37247.55
32175.0,23114.86
25884.0,13501.697
38111.0,32455.867
27371.0,23673.57
48006.0,46417.816
42081.0,36974.254
44281.0,36241.05
37564.0,31252.154
68965.0,54862.184
68158.0,44379.68
38272.0,35085.832
29261.0,29352.959
37586.0,24187.549
49013.0,35285.55
