start,name,month,predict_3,predict_2,predict_1,predict,predict_15,predict_14,predict_13,predict_12,mean,mean_past,standard,standard_past,predict_3_2,predict_2_1,predict_3_2_past,predict_2_1_past,trend_mean,trend_mean_past,change_1,change_2,change_3
202204,中闽百汇泉州涂门店,202204,123611,53987,33372,39005,85964,34219,76029,26741,70323.33333,65404,47285.58047,27460.0478,-0.563250843,-0.381851186,-0.601938021,0.54992174,-0.472551015,-0.02600814,0.437939137,0.577690757,-0.561062226
202204,中闽百汇泉州涂门店,202205,53987,33372,39005,49168,34219,76029,26741,25366,42121.33333,45663,10654.96158,26562.20224,-0.381851186,0.168794199,1.221835822,-1.843162185,-0.106528494,-0.310663182,0.577690757,-0.561062226,0.458621592
202204,中闽百汇泉州涂门店,202206,33372,39005,49168,54159,76029,26741,25366,21894,40515,42712,8005.528028,28861.55788,0.168794199,0.260556339,-0.648278946,-0.054206418,0.214675269,-0.351242682,-0.561062226,0.458621592,0.938342663
202204,中闽百汇泉州涂门店,202207,39005,49168,54159,36316,26741,25366,21894,37028,47444,24667,7722.69778,2497.959767,0.260556339,0.101509112,-0.051419169,-0.15858226,0.181032725,-0.105000715,0.458621592,0.938342663,1.473691422
202204,中闽百汇泉州涂门店,202208,49168,54159,36316,43911,25366,21894,37028,29808,46547.66667,28096,9205.583758,7927.746464,0.101509112,-0.329455861,-0.136876133,0.408717727,-0.113973375,0.135920797,0.938342663,1.473691422,-0.019228692
202204,中闽百汇泉州涂门店,202209,54159,36316,43911,68169,21894,37028,29808,41183,44795.33333,29576.66667,8954.311606,7569.651599,-0.329455861,0.209136469,0.691239609,-0.242216855,-0.060159696,0.224511377,1.473691422,-0.019228692,0.473128019
202204,中闽百汇泉州涂门店,202210,36316,43911,68169,42265,37028,29808,41183,24089,49465.33333,36006.33333,16637.04801,5755.91073,0.209136469,0.552435608,-0.194987577,0.276206202,0.380786039,0.040609312,-0.019228692,0.473128019,0.655270379
202204,中闽百汇泉州涂门店,202211,43911,68169,42265,44815,29808,41183,24089,41585,51448.33333,31693.33333,14503.89083,8701.555627,0.552435608,-0.379996773,0.381608964,-0.709618498,0.086219418,-0.164004767,0.473128019,0.655270379,0.754535265
202204,中闽百汇泉州涂门店,202212,68169,42265,44815,24094,41183,24089,41585,8590,51749.66667,35619,14276.60693,9987.29573,-0.379996773,0.060333609,-0.415074181,0.420728628,-0.159831582,0.002827224,0.655270379,0.754535265,0.077672238
202204,中闽百汇泉州涂门店,202301,42265,44815,24094,48966,24089,41585,8590,123611,37058,24754.66667,11299.31843,16507.56918,0.060333609,-0.462367511,0.726306613,-3.841094296,-0.201016951,-1.557393841,0.754535265,0.077672238,1.804889406
202204,中闽百汇泉州涂门店,202302,44815,24094,48966,153752,41585,8590,123611,53987,39291.66667,57928.66667,13324.20746,59226.63413,-0.462367511,1.032290197,-0.793435133,0.930507803,0.284961343,0.068536335,0.077672238,1.804889406,-0.603870206
202204,中闽百汇泉州涂门店,202303,24094,48966,153752,54701,8590,123611,53987,33372,75604,62062.66667,68811.23836,57934.18597,1.032290197,2.139974676,13.39010477,-1.289643803,1.586132437,6.050230485,1.804889406,-0.603870206,1.847944876
202204,中闽百汇泉州涂门店,202304,48966,153752,54701,20530,123611,53987,33372,39005,85806.33333,70323.33333,58912.50097,47285.58047,2.139974676,-0.644225766,-0.563250843,-0.617733429,0.747874455,-0.590492136,-0.603870206,1.847944876,0.639128611
202204,中百孝感建设路店,202204,26822,34795,31435,16478,13972,11442,17069,8459,31017.33333,14161,4002.876008,2818.257086,0.297255984,-0.096565599,-0.181076439,0.32966196,0.100345193,0.074292761,0.919696536,2.040989338,0.841642744
202204,中百孝感建设路店,202205,34795,31435,16478,17300,11442,17069,8459,11897,27569.33333,12323.33333,9751.187432,4372.137502,-0.096565599,-0.475807221,0.491784653,-1.01785081,-0.28618641,-0.263033078,2.040989338,0.841642744,0.947984395
